NOME;TELEFONO;LINK_WHATSAPP;SITO;COMUNE;DATA
Pizzeria Roma (ESEMPIO);045 000 0000;https://wa.me/393000000000?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Pizzeria%20Roma%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/il-vicoletto-trattoria-verona.html%20%E2%80%94%20se%20vi%20piace%20e%20vostro%20a%20600%20euro%20una%20tantum%2C%20senza%20impegno.%20Fatemi%20sapere%21;https://hubtecit-srl.github.io/website/il-vicoletto-trattoria-verona.html;Verona;2026-07-17
Studio dentistico Dott. Erbisti Lorenzo;389 822 3174;https://wa.me/393898223174?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Studio%20dentistico%20Dott.%20Erbisti%20Lorenzo%20e%20presente%20su%20Google%20ma%20senza%20un%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/studio-erbisti-affi.html%20-%20se%20vi%20piace%20e%20vostro%20a%20600%20euro%20una%20tantum%2C%20senza%20impegno.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/studio-erbisti-affi.html;Affi;2026-07-17
LOVED centro estetico;339 609 9603;https://wa.me/393396099603?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20LOVED%20centro%20estetico%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/loved-centro-estetico-affi.html%20-%20se%20vi%20piace%20e%20vostro%20a%20600%20euro%20una%20tantum%2C%20senza%20impegno.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/loved-centro-estetico-affi.html;Affi;2026-07-18
Elena Uno Stile;329 755 5933;https://wa.me/393297555933?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Elena%20Uno%20Stile%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/elena-uno-stile-affi.html%20-%20se%20vi%20piace%20e%20vostro%20a%20600%20euro%20una%20tantum%2C%20senza%20impegno.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/elena-uno-stile-affi.html;Affi;2026-07-20
Bicigrill Affi;347 409 5651;https://wa.me/393474095651?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Bicigrill%20Affi%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/bicigrill-affi.html%20-%20se%20vi%20piace%20lo%20attiviamo%20con%20soli%20200%20euro%20una%20tantum%2C%20e%20con%20100%20euro%20in%20piu%20avete%20un%20gestionale%20per%20aggiornarlo%20da%20soli%20%28testi%2C%20foto%2C%20orari%29.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/bicigrill-affi.html;Affi;2026-07-20
Estetica Ego (di Saggiotto Simonetta);370 166 1259;https://wa.me/393701661259?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Estetica%20Ego%20%28di%20Saggiotto%20Simonetta%29%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/estetica-ego-albaredo.html%20-%20se%20vi%20piace%20lo%20attiviamo%20con%20soli%20200%20euro%20una%20tantum%2C%20e%20con%20100%20euro%20in%20piu%20avete%20un%20gestionale%20per%20aggiornarlo%20da%20soli%20%28testi%2C%20foto%2C%20orari%29.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/estetica-ego-albaredo.html;Albaredo d'Adige;2026-07-20
Osteria Dogana dal 1969;338 217 9295;https://wa.me/393382179295?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Osteria%20Dogana%20dal%201969%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/osteria-dogana-albaredo.html%20-%20se%20vi%20piace%20lo%20attiviamo%20con%20soli%20200%20euro%20una%20tantum%2C%20e%20con%20100%20euro%20in%20piu%20avete%20un%20gestionale%20per%20aggiornarlo%20da%20soli%20%28testi%2C%20foto%2C%20orari%29.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/osteria-dogana-albaredo.html;Albaredo d'Adige;2026-07-20
Estetica Rachele di Menin Rachele;347 359 8935;https://wa.me/393473598935?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Estetica%20Rachele%20di%20Menin%20Rachele%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/estetica-rachele-albaredo.html%20-%20se%20vi%20piace%20lo%20attiviamo%20con%20soli%20200%20euro%20una%20tantum%2C%20e%20con%20100%20euro%20in%20piu%20avete%20un%20gestionale%20per%20aggiornarlo%20da%20soli%20%28testi%2C%20foto%2C%20orari%29.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/estetica-rachele-albaredo.html;Albaredo d'Adige;2026-07-20
Salone Andrea Di Soffiati Andrea;391 300 5001;https://wa.me/393913005001?text=Buongiorno%2C%20sono%20di%20HubTec.%20Ho%20visto%20che%20Salone%20Andrea%20Di%20Soffiati%20Andrea%20ha%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20preparato%20uno%20gia%20pronto%20per%20voi%3A%20https%3A//hubtecit-srl.github.io/website/salone-andrea-albaredo.html%20-%20se%20vi%20piace%20lo%20attiviamo%20con%20soli%20200%20euro%20una%20tantum%2C%20e%20con%20100%20euro%20in%20piu%20avete%20un%20gestionale%20per%20aggiornarlo%20da%20soli%20%28testi%2C%20foto%2C%20orari%29.%20Fatemi%20sapere%21%20%28Per%20non%20ricevere%20altri%20messaggi%2C%20rispondete%20STOP%29;https://hubtecit-srl.github.io/website/salone-andrea-albaredo.html;Albaredo d'Adige;2026-07-20
Hamburgeria;370 150 8787;https://wa.me/393701508787?text=Buongiorno%2C%0ASono%20Laura%20di%20HubTec%2C%20azienda%20di%20Verona.%0A%0AHo%20notato%20che%20avete%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20gia%20preparato%20uno%20per%20voi%2C%20potete%20vederlo%20qui%3A%20https%3A//hubtecit-srl.github.io/website/hamburgeria-affi.html%0A%0ASe%20vi%20piace%2C%20lo%20attiviamo%20con%20soli%20200%E2%82%AC.%0A%0AIn%20piu%2C%20se%20volete%20gestirlo%20in%20autonomia%20%28cambiare%20testi%2C%20foto%2C%20orari%E2%80%A6%29%2C%20possiamo%20aggiungere%20un%20gestionale%20semplice%20a%20soli%20100%E2%82%AC.%0A%0AChiaramente%20lo%20possiamo%20modificare%20con%20logo%20e%20altri%20minimi%20dettagli%20vostri.%0A%0ANessun%20impegno%3A%20dateci%20un%27occhiata%20e%20fatemi%20sapere%20cosa%20ne%20pensate%21%0A%0ALaura%20Borin%20-%20HubTec;https://hubtecit-srl.github.io/website/hamburgeria-affi.html;Affi;2026-07-20
Civico Sei;389 040 5001;https://wa.me/393890405001?text=Buongiorno%2C%0ASono%20Laura%20di%20HubTec%2C%20azienda%20di%20Verona.%0A%0AHo%20notato%20che%20avete%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20gia%20preparato%20uno%20per%20voi%2C%20potete%20vederlo%20qui%3A%20https%3A//hubtecit-srl.github.io/website/civico-sei-albaredo.html%0A%0ASe%20vi%20piace%2C%20lo%20attiviamo%20con%20soli%20200%E2%82%AC.%0A%0AIn%20piu%2C%20se%20volete%20gestirlo%20in%20autonomia%20%28cambiare%20testi%2C%20foto%2C%20orari%E2%80%A6%29%2C%20possiamo%20aggiungere%20un%20gestionale%20semplice%20a%20soli%20100%E2%82%AC.%0A%0AChiaramente%20lo%20possiamo%20modificare%20con%20logo%20e%20altri%20minimi%20dettagli%20vostri.%0A%0ANessun%20impegno%3A%20dateci%20un%27occhiata%20e%20fatemi%20sapere%20cosa%20ne%20pensate%21%0A%0ALaura%20Borin%20-%20HubTec;https://hubtecit-srl.github.io/website/civico-sei-albaredo.html;Albaredo d'Adige;2026-07-20
Barber Chalada;349 284 1982;https://wa.me/393492841982?text=Buongiorno%2C%0ASono%20Laura%20di%20HubTec%2C%20azienda%20di%20Verona.%0A%0AHo%20notato%20che%20avete%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20gia%20preparato%20uno%20per%20voi%2C%20potete%20vederlo%20qui%3A%20https%3A//hubtecit-srl.github.io/website/barber-chalada-albaredo.html%0A%0ASe%20vi%20piace%2C%20lo%20attiviamo%20con%20soli%20200%E2%82%AC.%0A%0AIn%20piu%2C%20se%20volete%20gestirlo%20in%20autonomia%20%28cambiare%20testi%2C%20foto%2C%20orari%E2%80%A6%29%2C%20possiamo%20aggiungere%20un%20gestionale%20semplice%20a%20soli%20100%E2%82%AC.%0A%0AChiaramente%20lo%20possiamo%20modificare%20con%20logo%20e%20altri%20minimi%20dettagli%20vostri.%0A%0ANessun%20impegno%3A%20dateci%20un%27occhiata%20e%20fatemi%20sapere%20cosa%20ne%20pensate%21%0A%0ALaura%20Borin%20-%20HubTec;https://hubtecit-srl.github.io/website/barber-chalada-albaredo.html;Albaredo d'Adige;2026-07-20
Love the hair di Rossignoli Tania;345 129 6078;https://wa.me/393451296078?text=Buongiorno%2C%0ASono%20Laura%20di%20HubTec%2C%20azienda%20di%20Verona.%0A%0AHo%20notato%20che%20avete%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20gia%20preparato%20uno%20per%20voi%2C%20potete%20vederlo%20qui%3A%20https%3A//hubtecit-srl.github.io/website/love-the-hair-albaredo.html%0A%0ASe%20vi%20piace%2C%20lo%20attiviamo%20con%20soli%20200%E2%82%AC.%0A%0AIn%20piu%2C%20se%20volete%20gestirlo%20in%20autonomia%20%28cambiare%20testi%2C%20foto%2C%20orari%E2%80%A6%29%2C%20possiamo%20aggiungere%20un%20gestionale%20semplice%20a%20soli%20100%E2%82%AC.%0A%0AChiaramente%20lo%20possiamo%20modificare%20con%20logo%20e%20altri%20minimi%20dettagli%20vostri.%0A%0ANessun%20impegno%3A%20dateci%20un%27occhiata%20e%20fatemi%20sapere%20cosa%20ne%20pensate%21%0A%0ALaura%20Borin%20-%20HubTec;https://hubtecit-srl.github.io/website/love-the-hair-albaredo.html;Albaredo d'Adige;2026-07-21
Sensity Beauty Fashion;351 807 5347;https://wa.me/393518075347?text=Buongiorno%2C%0ASono%20Laura%20di%20HubTec%2C%20azienda%20di%20Verona.%0A%0AHo%20notato%20che%20avete%20ottime%20recensioni%20ma%20nessun%20sito%20web%2C%20cosi%20ne%20ho%20gia%20preparato%20uno%20per%20voi%2C%20potete%20vederlo%20qui%3A%20https%3A//hubtecit-srl.github.io/website/sensity-beauty-fashion-arcole.html%0A%0ASe%20vi%20piace%2C%20lo%20attiviamo%20con%20soli%20200%E2%82%AC.%0A%0AIn%20piu%2C%20se%20volete%20gestirlo%20in%20autonomia%20%28cambiare%20testi%2C%20foto%2C%20orari%E2%80%A6%29%2C%20possiamo%20aggiungere%20un%20gestionale%20semplice%20a%20soli%20100%E2%82%AC.%0A%0AChiaramente%20lo%20possiamo%20modificare%20con%20logo%20e%20altri%20minimi%20dettagli%20vostri.%0A%0ANessun%20impegno%3A%20dateci%20un%27occhiata%20e%20fatemi%20sapere%20cosa%20ne%20pensate%21%0A%0ALaura%20Borin%20-%20HubTec;https://hubtecit-srl.github.io/website/sensity-beauty-fashion-arcole.html;Arcole;2026-07-21
